ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-09D14:00:00.000000000,6.2,0.4,66,270,33,24.1,99.32,,,Mainly Clear
2013-01-09D15:00:00.000000000,6.2,-1,60,260,43,24.1,99.39,,,Mainly Clear
2013-01-09D16:00:00.000000000,5.8,-1.9,58,260,41,24.1,99.45,,,Clear
2013-01-09D17:00:00.000000000,5.1,-2.4,58,260,43,24.1,99.55,,,Mainly Clear
2013-01-09D18:00:00.000000000,5.7,-2.3,56,260,44,24.1,99.67,,,Mostly Cloudy
2013-01-09D19:00:00.000000000,5.4,-1.5,61,290,39,24.1,99.83,,,Mostly Cloudy
2013-01-09D20:00:00.000000000,3.8,-3.3,60,300,30,24.1,100.06,,,Mainly Clear
2013-01-09D21:00:00.000000000,4.1,-3.5,58,290,41,24.1,100.23,,,Mostly Cloudy
2013-01-09D22:00:00.000000000,4.3,-2.8,60,290,33,24.1,100.36,,,Mostly Cloudy
2013-01-09D23:00:00.000000000,4.3,-2.6,61,300,32,24.1,100.46,,,Mostly Cloudy
2013-01-10D00:00:00.000000000,3.7,-3.9,58,310,35,24.1,100.64,,,Mainly Clear
2013-01-10D01:00:00.000000000,3,-4.1,60,310,30,24.1,100.78,,,Mostly Cloudy
2013-01-10D02:00:00.000000000,2.5,-4.2,61,320,22,24.1,100.81,,,Mainly Clear
2013-01-10D03:00:00.000000000,1.1,-4.3,67,310,15,24.1,100.9,,,Mainly Clear
2013-01-10D04:00:00.000000000,1,-3.4,72,250,15,24.1,100.98,,,Mostly Cloudy
2013-01-10D05:00:00.000000000,1.2,-3.8,69,250,15,24.1,101.03,,,Mostly Cloudy
2013-01-10D06:00:00.000000000,1.4,-3.5,70,250,13,24.1,101.09,,,Mostly Cloudy
2013-01-10D07:00:00.000000000,1.4,-3.3,71,260,17,24.1,101.21,,,Mostly Cloudy
2013-01-10D08:00:00.000000000,1.4,-3,72,270,11,24.1,101.38,,,Mostly Cloudy
2013-01-10D09:00:00.000000000,2,-2.8,70,280,11,24.1,101.46,,,Mostly Cloudy
